CustomerID,CustomerName,City,Segment,SignupDate,PreferredChannel
1,Cliente 00001,Valladolid,Básico,2025-12-29,Online
2,Cliente 00002,Madrid,Plus,2022-11-08,Tienda
3,Cliente 00003,Pamplona,Básico,2019-03-10,Online
4,Cliente 00004,Palma,Premium,2019-09-28,Mixto
5,Cliente 00005,Zaragoza,Básico,2022-04-30,Tienda
6,Cliente 00006,Santander,Básico,2023-04-28,Tienda
7,Cliente 00007,Vigo,Básico,2020-09-14,Online
8,Cliente 00008,Vigo,Básico,2021-07-23,Tienda
9,Cliente 00009,Bilbao,Básico,2024-02-25,Online
10,Cliente 00010,Pamplona,Básico,2025-10-09,Mixto
11,Cliente 00011,Palma,Plus,2022-06-09,Tienda
12,Cliente 00012,Las Palmas,Básico,2021-11-27,Tienda
13,Cliente 00013,Vigo,Básico,2021-07-12,Mixto
14,Cliente 00014,Alicante,Básico,2019-12-15,Tienda
15,Cliente 00015,Sevilla,Básico,2019-05-15,Tienda
16,Cliente 00016,Zaragoza,Básico,2024-11-01,Online
17,Cliente 00017,Málaga,Plus,2019-04-05,Tienda
18,Cliente 00018,Pamplona,Plus,2024-09-29,Tienda
19,Cliente 00019,Córdoba,Básico,2020-09-24,Online
20,Cliente 00020,Málaga,Plus,2023-11-12,Mixto
21,Cliente 00021,Vigo,Básico,2025-08-29,Online
22,Cliente 00022,Vigo,Básico,2024-03-28,Tienda
23,Cliente 00023,Murcia,Premium,2024-02-08,Online
24,Cliente 00024,Murcia,Básico,2020-11-07,Tienda
25,Cliente 00025,Santander,Premium,2023-03-09,Mixto
26,Cliente 00026,Valladolid,Básico,2023-06-30,Online
27,Cliente 00027,Valencia,Básico,2021-12-23,Tienda
28,Cliente 00028,Córdoba,Básico,2019-04-08,Tienda
29,Cliente 00029,Valladolid,Básico,2025-05-21,Mixto
30,Cliente 00030,Las Palmas,Premium,2020-05-18,Online
31,Cliente 00031,Vigo,Básico,2025-10-24,Mixto
32,Cliente 00032,Santander,Premium,2025-07-10,Tienda
33,Cliente 00033,Zaragoza,Premium,2019-02-18,Tienda
34,Cliente 00034,Murcia,Plus,2024-03-04,Tienda
35,Cliente 00035,Sevilla,Básico,2023-06-09,Tienda
36,Cliente 00036,Alicante,Básico,2020-08-12,Tienda
37,Cliente 00037,Murcia,Básico,2024-09-08,Online
38,Cliente 00038,Málaga,Plus,2019-10-12,Tienda
39,Cliente 00039,Córdoba,Básico,2020-09-27,Tienda
40,Cliente 00040,Murcia,Premium,2025-08-22,Tienda
41,Cliente 00041,Palma,Plus,2024-03-13,Online
42,Cliente 00042,Murcia,Básico,2019-10-14,Tienda
43,Cliente 00043,Bilbao,Plus,2020-01-04,Tienda
44,Cliente 00044,Valencia,Básico,2020-10-19,Tienda
45,Cliente 00045,Gijón,Premium,2019-06-30,Mixto
46,Cliente 00046,Barcelona,Básico,2020-04-11,Tienda
47,Cliente 00047,Zaragoza,Premium,2023-01-01,Tienda
48,Cliente 00048,Córdoba,Plus,2019-01-20,Online
49,Cliente 00049,Valencia,Premium,2021-01-04,Mixto
50,Cliente 00050,Alicante,Básico,2021-03-13,Online
51,Cliente 00051,Vigo,Plus,2025-10-17,Tienda
52,Cliente 00052,Alicante,Básico,2025-10-26,Online
53,Cliente 00053,Zaragoza,Plus,2024-12-01,Online
54,Cliente 00054,Madrid,Básico,2021-05-23,Mixto
55,Cliente 00055,Granada,Básico,2022-09-09,Online
56,Cliente 00056,Zaragoza,Básico,2022-07-13,Online
57,Cliente 00057,Gijón,Básico,2025-01-07,Online
58,Cliente 00058,Sevilla,Básico,2024-03-21,Mixto
59,Cliente 00059,Valencia,Plus,2025-05-06,Mixto
60,Cliente 00060,Gijón,Básico,2022-11-09,Mixto
61,Cliente 00061,Santander,Plus,2025-06-07,Mixto
62,Cliente 00062,Granada,Básico,2024-03-15,Mixto
63,Cliente 00063,Vigo,Plus,2024-03-03,Tienda
64,Cliente 00064,Bilbao,Plus,2023-08-19,Online
65,Cliente 00065,Santander,Básico,2021-05-07,Online
66,Cliente 00066,Córdoba,Plus,2023-04-05,Online
67,Cliente 00067,Sevilla,Premium,2021-06-30,Tienda
68,Cliente 00068,Valencia,Plus,2023-07-19,Online
69,Cliente 00069,Granada,Básico,2020-10-13,Online
70,Cliente 00070,Bilbao,Básico,2024-08-04,Tienda
71,Cliente 00071,Vigo,Plus,2022-12-31,Online
72,Cliente 00072,Valencia,Básico,2023-12-21,Online
73,Cliente 00073,Zaragoza,Plus,2020-07-20,Online
74,Cliente 00074,Zaragoza,Básico,2024-07-16,Tienda
75,Cliente 00075,Zaragoza,Plus,2024-08-13,Online
76,Cliente 00076,Córdoba,Básico,2020-01-08,Online
77,Cliente 00077,Santander,Básico,2021-06-13,Online
78,Cliente 00078,Santander,Premium,2023-09-29,Mixto
79,Cliente 00079,Vigo,Premium,2025-02-10,Online
80,Cliente 00080,Sevilla,Premium,2024-02-27,Online
81,Cliente 00081,Pamplona,Premium,2022-04-20,Mixto
82,Cliente 00082,Las Palmas,Básico,2021-02-05,Mixto
83,Cliente 00083,Las Palmas,Básico,2025-05-14,Online
84,Cliente 00084,Córdoba,Básico,2025-02-13,Online
85,Cliente 00085,Vigo,Básico,2025-04-11,Online
86,Cliente 00086,Pamplona,Básico,2021-02-17,Tienda
87,Cliente 00087,Valladolid,Premium,2022-01-20,Online
88,Cliente 00088,Valladolid,Básico,2020-09-15,Mixto
89,Cliente 00089,Vigo,Básico,2025-09-05,Mixto
90,Cliente 00090,Bilbao,Básico,2025-01-25,Tienda
91,Cliente 00091,Zaragoza,Básico,2020-03-18,Online
92,Cliente 00092,Alicante,Básico,2020-09-23,Mixto
93,Cliente 00093,Barcelona,Plus,2022-11-12,Tienda
94,Cliente 00094,Zaragoza,Básico,2021-11-28,Mixto
95,Cliente 00095,Córdoba,Plus,2022-03-21,Online
96,Cliente 00096,Pamplona,Premium,2021-07-29,Tienda
97,Cliente 00097,Las Palmas,Plus,2023-09-19,Mixto
98,Cliente 00098,Murcia,Plus,2025-04-14,Mixto
99,Cliente 00099,Murcia,Básico,2025-06-02,Tienda
100,Cliente 00100,Córdoba,Básico,2024-10-17,Tienda
101,Cliente 00101,Las Palmas,Básico,2023-11-10,Tienda
102,Cliente 00102,Madrid,Premium,2020-05-18,Tienda
103,Cliente 00103,Las Palmas,Plus,2024-07-22,Mixto
104,Cliente 00104,Murcia,Básico,2021-06-14,Tienda
105,Cliente 00105,Córdoba,Básico,2023-05-24,Online
